1,collar,6.827,-1314.930,49.385,-0.559,-92.120,-23.004,3.108,0.000,0.000,
2,sphere,-27.208,-1397.689,59.150,78.740,-22.193,3.431,5.000,0.000,0.000,
3,sphere,-27.294,-1397.875,56.415,78.130,-27.701,7.991,5.000,0.000,0.000,
4,sphere,-27.412,-1397.985,53.492,76.163,-24.760,3.816,5.000,0.000,0.000,
5,sphere,-27.256,-1398.005,49.489,71.962,-21.557,1.280,5.000,0.000,0.000,
6,sphere,-27.329,-1398.163,46.022,70.287,-21.576,1.488,5.000,0.000,0.000,
7,sphere,-27.100,-1398.320,43.073,64.579,-22.972,2.358,5.000,0.000,0.000,
8,sphere,-23.843,-1400.780,60.842,73.871,-25.383,5.296,5.000,0.000,0.000,
9,sphere,-19.780,-1401.679,60.367,74.560,-21.021,-2.375,5.000,0.000,0.000,
10,sphere,-16.869,-1402.313,59.588,74.809,-7.708,-17.672,5.000,0.000,0.000,
11,sphere,-14.800,-1402.974,57.285,73.562,-4.099,-23.078,5.000,0.000,0.000,
12,sphere,-15.236,-1402.766,54.692,71.135,-3.878,-22.672,5.000,0.000,0.000,
13,sphere,-17.680,-1402.244,53.123,70.033,-8.469,-15.872,5.000,0.000,0.000,
14,sphere,-20.210,-1401.511,51.926,68.944,-10.842,-10.733,5.000,0.000,0.000,
15,sphere,-22.509,-1401.135,49.871,66.391,-32.696,11.619,5.000,0.000,0.000,
16,sphere,-17.493,-1402.342,49.702,68.740,-29.042,3.313,5.000,0.000,0.000,
17,sphere,-14.544,-1403.224,49.231,68.319,-19.777,-8.235,5.000,0.000,0.000,
18,sphere,-12.372,-1404.160,48.075,68.521,-14.386,-15.721,5.000,0.000,0.000,
19,sphere,-13.079,-1404.203,45.044,65.023,-14.099,-15.608,5.000,0.000,0.000,
20,sphere,-16.079,-1403.323,42.980,63.148,-14.661,-12.262,5.000,0.000,0.000,
21,sphere,-18.781,-1402.423,40.627,60.951,-13.162,-11.495,5.000,0.000,0.000,
22,sphere,-22.480,-1401.530,39.483,59.146,-13.806,-7.262,5.000,0.000,0.000,
23,sphere,-25.744,-1401.021,39.540,57.656,-17.459,0.070,5.000,0.000,0.000,
24,sphere,-2.118,-1404.574,60.945,77.191,-26.028,16.336,5.000,0.000,0.000,
25,sphere,-2.284,-1405.837,58.692,80.052,-16.827,12.588,5.000,0.000,0.000,
26,sphere,-2.165,-1404.969,55.561,77.129,-19.443,14.410,5.000,0.000,0.000,
27,sphere,-1.970,-1404.927,52.490,74.799,-13.578,8.176,5.000,0.000,0.000,
28,sphere,-1.767,-1405.307,49.924,73.052,-13.644,7.577,5.000,0.000,0.000,
29,sphere,-1.291,-1405.690,47.559,70.429,-10.036,3.784,5.000,0.000,0.000,
30,sphere,-1.222,-1405.910,44.955,67.153,-10.690,4.220,5.000,0.000,0.000,
31,sphere,-1.562,-1406.170,41.805,63.177,-10.732,4.397,5.000,0.000,0.000,
32,sphere,3.363,-1404.521,60.928,72.374,-16.965,18.385,5.000,0.000,0.000,
33,sphere,8.171,-1405.868,61.011,76.748,-23.058,22.606,5.000,0.000,0.000,
34,sphere,10.413,-1405.724,59.458,76.775,-14.929,12.644,5.000,0.000,0.000,
35,sphere,12.413,-1405.650,56.942,74.533,-9.285,5.349,5.000,0.000,0.000,
36,sphere,12.179,-1405.697,54.386,72.391,-9.321,5.515,5.000,0.000,0.000,
37,sphere,8.929,-1405.860,52.845,71.084,-15.236,13.971,5.000,0.000,0.000,
38,sphere,6.020,-1405.878,51.115,68.358,-20.131,20.694,5.000,0.000,0.000,
39,sphere,5.839,-1407.207,48.705,66.009,-31.485,34.844,5.000,0.000,0.000,
40,sphere,8.838,-1407.127,46.777,64.794,-26.769,28.887,5.000,0.000,0.000,
41,sphere,11.932,-1406.942,44.933,61.862,-24.063,23.355,5.000,0.000,0.000,
42,sphere,13.858,-1406.229,43.202,59.769,-22.109,22.662,5.000,0.000,0.000,
43,sphere,15.863,-1406.720,42.073,60.796,-24.954,30.801,5.000,0.000,0.000,
44,sphere,26.608,-1403.654,61.466,81.226,-11.451,18.334,5.000,0.000,0.000,
45,sphere,26.551,-1403.628,57.098,79.312,-12.455,19.399,5.000,0.000,0.000,
46,sphere,26.521,-1403.764,54.954,77.658,-15.471,22.032,5.000,0.000,0.000,
47,sphere,26.524,-1403.994,52.126,74.869,-15.501,22.385,5.000,0.000,0.000,
48,sphere,26.606,-1404.329,49.704,73.296,-15.805,23.389,5.000,0.000,0.000,
49,sphere,27.680,-1404.641,45.531,69.481,-11.908,20.033,5.000,0.000,0.000,
50,sphere,27.985,-1404.403,43.637,67.003,-6.643,15.366,5.000,0.000,0.000,
51,sphere,33.741,-1402.989,43.683,66.726,-11.145,18.348,5.000,0.000,0.000,
52,sphere,37.702,-1401.723,43.602,66.428,-8.478,16.288,5.000,0.000,0.000,
53,sphere,39.226,-1401.269,44.976,68.215,-7.244,16.748,5.000,0.000,0.000,
54,sphere,40.143,-1400.532,47.086,66.713,-14.103,22.975,5.000,0.000,0.000,
55,sphere,40.003,-1400.172,50.037,68.032,-16.108,24.181,5.000,0.000,0.000,
56,sphere,40.236,-1399.176,53.356,69.257,-13.797,21.313,5.000,0.000,0.000,
57,sphere,39.988,-1399.084,56.490,71.538,-20.118,26.819,5.000,0.000,0.000,
58,sphere,39.643,-1398.657,59.244,72.665,-20.723,27.410,5.000,0.000,0.000,
59,sphere,39.488,-1398.715,61.761,74.794,-22.162,28.228,5.000,0.000,0.000,
60,sphere,50.616,-1393.725,62.289,79.254,1.813,23.984,5.000,0.000,0.000,
61,sphere,51.253,-1394.677,57.917,78.850,-8.262,35.196,5.000,0.000,0.000,
62,sphere,51.420,-1394.788,55.807,77.695,-6.815,34.107,5.000,0.000,0.000,
63,sphere,51.370,-1394.592,53.541,75.466,-5.078,32.920,5.000,0.000,0.000,
64,sphere,51.304,-1394.974,51.419,74.368,-6.598,34.573,5.000,0.000,0.000,
65,sphere,51.291,-1395.073,48.968,71.985,-1.510,30.234,5.000,0.000,0.000,
66,sphere,51.483,-1395.280,46.790,69.226,0.464,28.189,5.000,0.000,0.000,
67,sphere,51.583,-1395.369,44.014,65.728,0.454,28.465,5.000,0.000,0.000,
68,sphere,55.234,-1392.750,62.244,77.987,-17.872,52.701,5.000,0.000,0.000,
69,sphere,56.497,-1391.525,59.917,76.977,-14.342,49.664,5.000,0.000,0.000,
70,sphere,57.195,-1390.532,57.202,74.317,-9.495,44.698,5.000,0.000,0.000,
71,sphere,58.002,-1389.656,55.124,73.175,-5.886,41.596,5.000,0.000,0.000,
72,sphere,58.787,-1389.452,52.573,71.879,-2.637,37.901,5.000,0.000,0.000,
73,sphere,58.998,-1388.747,49.970,68.880,-1.498,36.180,5.000,0.000,0.000,
74,sphere,60.007,-1388.387,47.367,65.791,1.124,32.684,5.000,0.000,0.000,
75,sphere,60.948,-1388.092,45.125,62.774,2.530,30.647,5.000,0.000,0.000,
76,sphere,64.011,-1385.276,63.127,76.749,-2.294,36.201,5.000,0.000,0.000,
77,sphere,65.181,-1386.383,59.364,79.609,7.125,29.901,5.000,0.000,0.000,
78,sphere,64.947,-1386.530,56.605,77.859,-1.510,39.381,5.000,0.000,0.000,
79,sphere,65.063,-1385.867,52.831,73.615,1.975,36.602,5.000,0.000,0.000,
80,sphere,65.064,-1385.966,50.450,71.269,2.520,36.689,5.000,0.000,0.000,
81,sphere,65.146,-1386.306,48.092,68.783,3.477,36.282,5.000,0.000,0.000,
82,sphere,65.733,-1386.338,43.755,66.033,0.533,30.144,5.000,0.000,0.000,
83,sphere,72.133,-1378.159,51.800,68.621,5.145,40.070,5.000,0.000,0.000,
84,sphere,74.240,-1377.743,57.446,72.694,-0.028,45.091,5.000,0.000,0.000,
85,sphere,74.552,-1375.335,60.419,73.749,7.950,38.042,5.000,0.000,0.000,
86,sphere,76.621,-1372.748,62.830,73.756,20.517,24.208,5.000,0.000,0.000,
87,sphere,80.010,-1367.311,63.464,71.228,26.337,13.769,5.000,0.000,0.000,
88,sphere,83.459,-1364.566,61.316,66.677,29.745,4.426,5.000,0.000,0.000,
89,sphere,83.997,-1363.138,57.978,61.870,25.631,7.227,5.000,0.000,0.000,
90,sphere,85.102,-1362.274,52.929,56.548,24.746,6.951,5.000,0.000,0.000,
91,sphere,73.889,-1377.064,46.585,59.982,17.341,29.481,5.000,0.000,0.000,
92,sphere,77.451,-1373.001,44.183,53.886,21.799,19.308,5.000,0.000,0.000,
93,sphere,80.182,-1368.910,43.129,48.494,21.578,12.386,5.000,0.000,0.000,
94,sphere,83.541,-1366.031,45.292,48.145,22.189,6.173,5.000,0.000,0.000,
95,sphere,85.295,-1363.317,48.257,39.117,20.572,7.761,5.000,0.000,0.000,
96,cone,-50.403,-1400.280,49.509,20.960,-90.112,65.068,23.439,11.720,0.000,
97,cone,103.381,-1348.029,53.103,-5.628,86.020,-24.352,20.470,10.235,0.000,
